"","query_target_gsea.Target.name","query_target_gsea.dangshen_CS","query_target_gsea.huangqi_CS","query_target_gsea.dangshen_NCS","query_target_gsea.huangqi_NCS","query_target_gsea.dangshen_Pvalue","query_target_gsea.huangqi_Pvalue","query_target_gsea.dangshen_FDR","query_target_gsea.huangqi_FDR"
"KCNH5","KCNH5",-0.27519,-0.023538,-3.81629742382158,-0.3264217768157,0,0.701010101010101,0.000147709508659848,0.942168829752971
"POU2F2","POU2F2",-0.37202,-0.041551,-5.15984070541772,-0.576303803964334,0,0.588461538461538,0,0.955185191553336
"MMP8","MMP8",0.39113,0.139974,5.78875667839117,2.07162689464149,0,0.0732673267326733,0,0.227554978318474
"KDR","KDR",0.0581,-0.034391,0.84927240474453,-0.504008192700021,0.528066528066528,0.593448940269749,0.970948839079888,0.948040602919826
"NOX3","NOX3",0.02676,0.008142,0.407595840393597,0.124015146953837,0.611764705882353,0.87843137254902,0.950024315943942,0.98167296064212
"CLCA1","CLCA1",-0.086586,-0.012382,-1.2253192302682,-0.175223508525407,0.458752515090543,0.824949698189135,0.919962102010156,0.968207474839624
"PTPN1","PTPN1",-0.38737,-0.195437,-5.77342863716147,-2.91282642579685,0,0,0,0.0151786865899254
"PRKCQ","PRKCQ",0.00683,-0.156986,0.108866776335753,-2.16846541893678,0.847280334728033,0.0268199233716475,0.984642257098009,0.177130907250752
"CSNK1G3","CSNK1G3",-0.116313,-0.0345,-1.69160303771284,-0.501752209994523,0.232741617357002,0.597633136094675,0.53431055045394,0.946645973982178
"PSMB1","PSMB1",-0.32569,0.013561,-5.28145466286534,0.199839787218601,0,0.802371541501976,0,0.967409524369297
"FFAR1","FFAR1",0.0153,0.029034,0.228856626226891,0.434289103651735,0.741344195519348,0.608961303462322,0.964361838306423,0.949614490012655
"IDH1","IDH1",0.3067,-0.14079,4.68455032597959,-2.04563603691411,0,0.0805500982318271,0,0.2453433389357
"MMP2","MMP2",-0.00225,-0.12108,-0.0317931571705575,-1.71089576453826,0.949685534591195,0.19706498951782,0.992603444790146,0.516952867205893
"DDR1","DDR1",-0.01405,0.016811,-0.216724327150994,0.255896498674978,0.748971193415638,0.747081712062257,0.960588573115852,0.962334881952208
